,x,y,congestion
0,121.0,39.0,0.0469040609896183
1,122.0,39.0,0.07876450568437576
2,159.0,84.0,0.05419711396098137
3,161.0,84.0,0.05070950463414192
4,162.0,84.0,0.24503451585769653
5,163.0,84.0,0.33786821365356445
6,164.0,84.0,0.14433400332927704
7,173.0,84.0,0.08496124297380447
8,174.0,84.0,0.21297910809516907
9,175.0,84.0,0.26897871494293213
10,176.0,84.0,0.2528897821903229
11,177.0,84.0,0.02916615642607212
12,178.0,84.0,0.07835172861814499
13,179.0,84.0,0.01845543086528778
14,180.0,84.0,0.132957324385643
15,181.0,84.0,0.0
16,161.0,85.0,0.3904320001602173
17,162.0,85.0,0.6754682064056396
18,163.0,85.0,0.5276907682418823
19,164.0,85.0,0.27492523193359375
20,175.0,85.0,0.22059644758701324
21,176.0,85.0,0.26246923208236694
22,161.0,86.0,0.4146721661090851
23,162.0,86.0,0.6770411729812622
24,163.0,86.0,0.6922149062156677
25,164.0,86.0,0.4335175156593323
26,174.0,86.0,0.2711467444896698
27,175.0,86.0,0.6058170795440674
28,176.0,86.0,0.6313139200210571
29,161.0,87.0,0.2140580266714096
30,162.0,87.0,0.688905656337738
31,163.0,87.0,1.0
32,164.0,87.0,0.5187907218933105
33,173.0,87.0,0.05884511023759842
34,174.0,87.0,0.22588127851486206
35,175.0,87.0,0.7524538636207581
36,176.0,87.0,0.7501018047332764
37,177.0,87.0,0.010002185590565205
38,20.0,108.0,0.039425816386938095
39,21.0,108.0,0.13337381184101105
40,22.0,108.0,0.12254489958286285
41,23.0,108.0,0.1911941021680832
42,24.0,108.0,0.19527792930603027
43,25.0,108.0,0.5438711047172546
44,26.0,108.0,0.46665048599243164
45,27.0,108.0,0.14726875722408295
46,28.0,108.0,0.0463264063000679
47,227.0,147.0,0.2197992205619812
48,228.0,147.0,0.17104165256023407
